CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
马桥西街小区,3室2厅, 123.77,25047,310,22,14
东新街9号,2室1厅, 81.7,28397,232,32,15
马桥公寓,2室2厅, 94.17,28672,270,55,16
富岩路230弄,3室2厅, 141.08,29771,420,11,3
南中街53号,2室1厅, 66.08,30267,200,4,2
富岩路14号,3室1厅, 76.99,28965,223,51,3
富岩路268弄16支弄,4室1厅, 133,27068,360,3,0
西街15号,3室2厅, 102.23,29150,298,18,0
西街2号,3室1厅, 114.5,30568,350,1,0
马桥西街小区,3室2厅, 124,24194,300,41,10
富岩路335弄,2室2厅, 80.71,29737,240,24,21
南中街53号,2室1厅, 66.08,30267,200,73,12
东新街2弄小区,2室1厅, 56.64,29132,165,36,12
马桥公寓,2室2厅, 102,30197,308,2,5
东新街16号,3室1厅, 79.26,29019,230,11,12
旭丽花园,独栋别墅, 4室,33871,990,15,5
马桥西街小区,3室2厅, 123.19,27600,340,8,3
富岩路16号,3室1厅, 93,29033,270,7,1
富岩路9号,2室1厅, 44.85,35675,160,162,3
富岩路13号,2室1厅, 65.55,30512,200,106,0
东新街21号,2室1厅, 51.94,32731,170,15,0
马桥公寓,2室1厅, 76.26,30816,235,6,0
中房森林别墅,独栋别墅, 5室,36901,2000,6,0
马桥西街小区,2室2厅, 90.76,28647,260,29,2
长岛别墅,独栋别墅, 6室,52402,4000,6,0
旭丽花园,双拼别墅, 4室,36295,1050,1,0
中房森林别墅,独栋别墅, 4室,73003,2200,1,0
富岩路10号,3室1厅, 78.57,31183,245,26,0
中房森林别墅,独栋别墅, 5室,35887,2000,23,49
东新街1号,1室1厅, 44.69,29537,132,82,16
御涛园,独栋别墅, 5室,47728,2100,5,25
中房森林别墅,独栋别墅, 4室,49969,2200,4,36
御涛园,独栋别墅, 3室,50087,1500,7,21
南中街51号,2室1厅, 53.74,33123,178,90,16
富岩路22号,1室1厅, 57.26,31436,180,10,4
御涛园,独栋别墅, 3室,45752,1400,8,8
马桥西街小区,2室2厅, 90.61,28695,260,20,18
马桥公寓,2室2厅, 98.63,27882,275,18,13
中房森林别墅,独栋别墅, 5室,39770,2300,12,18
绿城玫瑰园,独栋别墅, 6室,97817,15000,101,10
富岩路335弄,3室1厅, 80.71,29117,235,27,10
绿城玫瑰园,独栋别墅, 5室,46595,4000,4,5
东新街11号,2室2厅, 61.52,35761,220,4,0
马桥公寓,3室2厅, 112.75,30156,340,4,10
山水世纪,独栋别墅, 4室,39420,1200,36,10
旭丽花园,独栋别墅, 5室,37262,1100,16,13
中街153弄,2室2厅, 79.07,31365,248,10,1
东新街15号,2室1厅, 64.77,32423,210,24,7
南中街53号,2室1厅, 66.08,30267,200,110,7
长岛别墅,独栋别墅, 7室,37758,2080,13,8
富岩路7号,3室1厅, 76.99,31173,240,24,1
马桥镇西街3号,2室2厅, 93,27850,259,17,4
马桥新村,2室1厅, 57.48,30446,175,266,3
马桥西街小区,3室2厅, 123.17,27605,340,4,1
旭丽花园,独栋别墅, 5室,43736,1250,2,4
旭丽花园,双拼别墅, 4室,29392,850,23,2
中星红庐,独栋别墅, 3室,111972,3180,20,7
西街15号,4室2厅, 135.42,25477,345,6,0
马桥西街小区,4室3厅, 189.75,23716,450,23,0
马桥西街小区,4室3厅, 189.75,23716,450,23,0
马桥新村,2室1厅, 58,30173,175,7,0
富岩路6号,3室1厅, 76.99,29875,230,0,0
中房森林别墅,独栋别墅, 5室,44092,2500,1,2
长岛别墅,独栋别墅, 5室,36681,2800,5,3
中房森林别墅,独栋别墅, 5室,51825,2500,9,1
旭丽花园,独栋别墅, 4室,34891,1030,14,2
长岛别墅,独栋别墅, 4室,42924,1800,6,2
绿城玫瑰园,独栋别墅, 5室,33957,3000,68,47
绿城玫瑰园,独栋别墅, 5室,47585,3388,9,31
御涛园,独栋别墅, 5室,52278,2300,9,26
中房森林别墅,独栋别墅, 5室,36412,2000,17,28
绿城玫瑰园,独栋别墅, 4室,51587,4200,11,25
绿城玫瑰园,独栋别墅, 4室,119539,5600,0,3
长岛别墅,独栋别墅, 4室,31074,1450,61,22
御涛园,独栋别墅, 3室,47517,1430,45,17
富岩路335弄,4室2厅, 126.98,32289,410,15,2
御涛园,独栋别墅, 5室,45311,2400,7,14
山水世纪,独栋别墅, 4室,39420,1200,44,9
绿城玫瑰园,独栋别墅, 5室,60550,5500,16,8
富岩路2号,2室2厅, 76.99,30524,235,20,7
山水世纪,独栋别墅, 4室,42705,1300,1,1
御涛园,独栋别墅, 3室,56766,1700,6,0
长岛别墅,独栋别墅, 5室,50078,2100,1,0
红庐雅颂别墅,4室3厅, 480.01,62499,3000,0,0
富岩路23号,1室1厅, 57.26,32309,185,0,2
中街157弄,3室1厅, 79.12,28438,225,3,0
御涛园,独栋别墅, 5室,49098,2600,4,5
富岩路1号,2室1厅, 69.8,29370,205,7,9
富岩路17号,3室1厅, 92.75,28572,265,12,3
