CommunityName,RoomType,Area(m2),Pre-Price,Total-Price,Attention,Seen
龙柏二村,2室1厅, 59.43,53004,315,20,13
龙柏西郊公寓,3室2厅, 114.65,61056,700,45,17
嘉富丽苑,3室2厅, 132.56,61859,820,3,10
龙柏西郊公寓,2室2厅, 95.4,59749,570,9,4
龙柏城市花园,3室2厅, 130.19,52616,685,92,20
龙柏七村,1室1厅, 49.86,60169,300,7,4
龙柏二村,2室1厅, 61.16,52159,319,20,4
龙柏六村,2室1厅, 67.28,53508,360,35,12
龙柏四季花园,2室2厅, 128.43,62291,800,38,10
龙柏香榭苑,2室2厅, 90.88,77025,700,62,15
龙柏三村,2室1厅, 69.53,58393,406,34,9
龙柏公寓,3室2厅, 130.87,52725,690,28,5
龙柏二村,2室1厅, 54.81,57472,315,59,11
龙柏四村,2室1厅, 54.66,55800,305,3,9
佳信花苑,3室2厅, 103.87,46212,480,71,4
龙柏四村,3室1厅, 75.96,57267,435,11,4
佳信花苑,3室1厅, 104.61,51621,540,25,5
龙柏易居公寓,1室1厅, 65.41,61153,400,12,4
嘉富丽苑,3室2厅, 112.93,61986,700,14,3
龙柏易居公寓,2室1厅, 74.39,66542,495,38,5
龙柏二村,3室1厅, 87.94,50035,440,63,5
龙柏二村,2室1厅, 60.58,52823,320,14,2
龙兴苑,2室2厅, 94.5,66667,630,10,0
龙柏七村,3室2厅, 90.1,58269,525,19,3
佳信花苑,4室2厅, 132.22,56043,741,11,2
龙柏四村,2室1厅, 68.98,57698,398,26,1
龙柏四村三小区,2室1厅, 67.13,52138,350,9,1
龙柏城市花园,4室3厅, 180.56,41815,755,37,2
龙柏西郊公寓,3室2厅, 132.44,58140,770,19,2
嘉富丽苑,3室2厅, 115.83,57844,670,13,2
龙柏七村,3室2厅, 90.1,58269,525,19,3
龙柏二村,2室1厅, 54.29,60785,330,24,0
龙柏三村,2室1厅, 73.7,51561,380,8,0
龙柏易居公寓,2室1厅, 77.17,62201,480,43,0
中祥龙柏苑,3室2厅, 137.37,67701,930,8,0
龙柏七村,2室1厅, 78,58975,460,13,0
嘉富丽苑,1室1厅, 63.94,65531,419,149,0
龙柏七村,1室1厅, 50.03,56966,285,6,0
龙柏七村,1室1厅, 49.86,65785,328,4,0
龙柏三村,2室1厅, 69.58,54326,378,20,0
青杉路200弄,1室0厅, 37.65,34529,130,239,1
龙柏二村,2室1厅, 60.58,57775,350,1,0
龙柏三村,2室1厅, 58.37,54309,317,13,8
龙柏四村,1室1厅, 42.83,57203,245,55,17
