Name,Address,Productor,PorpertyCompany,Start-Time,Type,Delivery-Time,Plot-Ratio,LimitOfusingTime,Green-Rate,Planning-homesNum,Property-fee,Floor-Area,Building-Area,Price,DanWei
禹洲府,富国路199弄,上海灏溢房地产开发有限公司,禹洲物业服务有限公司上海分公司,2017-06-27-,住宅,2019-03-01-,2.20,70年,35%,1042,4.5,41262,131,350,万/套
禹洲丁香里,澄浏公路路唐家浜路路口,上海舜鸿房地产开发有限公司,禹洲物业服务有限公司上海分公司,2017-04-26-,住宅,2018-12-,1.80,70年,36%,532,3.1,31139,56,32000,元/平
宝华城市之星,石泉路18弄,上海凯祥房地产有限公司,上海安荣物业管理服务有限公司,2017-02-08-,住宅,2018-12-,2.80,70年,35%,276,8.8,57426,200,95000,元/平
恒大御澜庭,淀山湖大道复兴路路口,上海丰涛置业有限公司,恒大金碧物业,2017-05-14-,别墅,2018-12-,0.50,70年,35%,1200,3,350000,175,41000,元/平
金地世家,合作路199弄,上海嘉金房地产发展有限公司,上海金地物业服务有限公司,2017-09-21-,住宅,2018-12-,1.75,70年,35%,917,3.2,61589,108,43500,元/平
信达蓝尊,"长水街277弄,长水街01-08.11-14.16-19号",上海松江信达银瓴置业有限公司,上海万科物业有限公司,2018-01-19-,住宅,2017-12-,2.00,70年,35%,1085,3.5,46868,125,42500,元/平
宝业爱多邦,崧淀二路99号,上海宝悦房地产开发有限公司,上海卓越物业管理有限公司,2017-02-14-,住宅,预计2018-09-,2.00,70年,35%,596,3.5,27938,83,42000,元/平
森兰名轩,张扬北路东高路路口,上海同运置业有限公司,上海实业,2017-04-12-,住宅,预计2018-04-,1.20,70年,35%,426,3.9,53000,95,,
御龙名邸,海丰路128弄,上海山阳房产开发有限公司,上海海尚物业管理有限公司,2016-09-30-,住宅,2016-01-01-,0.67,70年,39%,864,0.75,49971,70,22000,元/平
华润中央公园(浩翔路98弄),浩翔路98弄,华润(上海)房地产开发有限公司,华润置地（上海）物业管理有限公司,2016-05-,住宅,2016-12-,1.31,70年,35%,1679,4,260000,460,53000,元/平
佳兆业城市广场,嘉定-顺宁路501弄,上海嘉湾兆业房地产有限公司,佳兆业品牌物业,2016-10-01-,住宅,2017-12-,1.80,70年,35%,754,2.6,117257,290,32500,元/平
尚海湾豪庭,徐汇-宛平南路1441号,上海鑫泰房地产发展有限公司,戴德梁行物业管理有限公司,2016-12-25-,住宅,2019-05-,3.23,70年,35%,2500,5.5,246000,620,155000,元/平
上海长滩,宝山－牡丹江路1875号(近富锦路),上港集团瑞泰发展有限责任公司,上港瑞泰,2017-07-09-,住宅,2017-12-,2.70,70年,35%,4200,4.2,776200,1,58500,元/平
华纺和成未来派,九工路1885弄,上海华纺房地产开发有限公司,上海乐居物业有限公司,2015-11-30-,住宅,2017-07-13-,1.80,70年,35%,1500,2,76805,186,17900,元/平米
欣悦华庭,新四平公路2378弄,上海泉轩房地产开发有限公司,上海临源物业有限公司,2017-07-08-,住宅,2018-06-15-,1.40,70年,35%,268,2.18,19988,27,22500,元/平米
中南君悦府,大盈浦路1800弄,上海锦府房地产开发有限公司,中南物业,2017-06-28-,别墅,2018-08-,2.00,70年,35%,402,3.5,19397,38,560,万/套
万科公园大道,富卓路789弄,上海郡科投资管理有限公司,上海万科物业服务有限公司,2018-01-19-,住宅,2018-05-,2.40,70年,35%,1976,3.9,81044,230,46500,元/平
大发融悦,青浦-朱家角路158弄,上海垠壹置业有限公司,上海紫泰物业管理有限公司,2017-04-26-,住宅,2017-12-,1.80,70年,45%,900,3.2,45000,83,40000,元/平
