禹洲府,"['项目地址：', '富国路199弄', '售楼处地址：', '闵行区马桥富国路银春路交汇处（接待时间9:00-18:00）', '开发商：', '上海灏溢房地产开发有限公司', '物业公司：', '禹洲物业服务有限公司上海分公司', '最新开盘：', '2017年06月27日', '物业类型：', '住宅', '交房时间：', '2019年03月01日', '容积率：', '2.20', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '1042', '物业费用：', '4.5元/m²/月', '车位情况：', '地下车位数916', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '41,262㎡', '建筑面积：', '131,117㎡']","['均价', '350', '万/套']"
禹洲丁香里,"['项目地址：', '澄浏公路路唐家浜路路口', '售楼处地址：', '澄浏路唐家浜路交汇处（接待时间9:00-18:00）', '开发商：', '上海舜鸿房地产开发有限公司', '物业公司：', '禹洲物业服务有限公司上海分公司', '最新开盘：', '2017年04月26日', '物业类型：', '住宅', '交房时间：', '2018年12月', '容积率：', '1.80', '产权年限：', '70年', '绿化率：', '36%', '规划户数：', '532', '物业费用：', '3.1元/m²/月', '车位情况：', '地上车位数135；地下车位数537', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '31,139㎡', '建筑面积：', '56,050㎡']","['均价', '32000', '元/平']"
宝华城市之星,"['项目地址：', '石泉路18弄', '售楼处地址：', '石泉路18弄（接待时间9:00-17:30）', '开发商：', '上海凯祥房地产有限公司', '物业公司：', '上海安荣物业管理服务有限公司', '最新开盘：', '2017年02月08日', '物业类型：', '住宅', '交房时间：', '2018年12月', '容积率：', '2.80', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '276', '物业费用：', '8.8元/m²/月', '车位情况：', '地下车位数276', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '57,426㎡', '建筑面积：', '200,000㎡']","['均价', '95000', '元/平']"
恒大御澜庭,"['项目地址：', '淀山湖大道复兴路路口', '售楼处地址：', '淀山湖大道3600弄（接待时间9:00-17:00）', '开发商：', '上海丰涛置业有限公司', '物业公司：', '恒大金碧物业', '最新开盘：', '2017年05月14日', '物业类型：', '别墅', '交房时间：', '2018年12月', '容积率：', '0.50', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '1200', '物业费用：', '3元/m²/月', '车位情况：', '地下车位数1705', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '350,000㎡', '建筑面积：', '175,000㎡']","['均价', '41000', '元/平']"
金地世家,"['项目地址：', '合作路199弄', '售楼处地址：', '合作路199弄（接待时间:-:）', '开发商：', '上海嘉金房地产发展有限公司', '物业公司：', '上海金地物业服务有限公司', '最新开盘：', '2017年09月21日', '物业类型：', '住宅', '交房时间：', '2018年12月', '容积率：', '1.75', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '917', '物业费用：', '3.2元/m²/月', '车位情况：', '地上车位数68；地下车位数1133', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '61,589㎡', '建筑面积：', '108,000㎡']","['均价', '43500', '元/平']"
信达蓝尊,"['项目地址：', '长水街277弄,长水街01-08.11-14.16-19号', '售楼处地址：', '长水街277弄（接待时间9:00-19:00）', '开发商：', '上海松江信达银瓴置业有限公司', '物业公司：', '上海万科物业有限公司', '最新开盘：', '2018年01月19日', '物业类型：', '住宅', '交房时间：', '2017年12月', '容积率：', '2.00', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '1085', '物业费用：', '3.5元/m²/月', '车位情况：', '地上车位数345；地下车位数699', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '46,868㎡', '建筑面积：', '125,133㎡']","['均价', '42500', '元/平']"
宝业爱多邦,"['项目地址：', '崧淀二路99号', '售楼处地址：', '崧淀二路99号（接待时间9:00-18:00）', '开发商：', '上海宝悦房地产开发有限公司', '物业公司：', '上海卓越物业管理有限公司', '最新开盘：', '2017年02月14日', '物业类型：', '住宅', '交房时间：', '预计2018年09月', '容积率：', '2.00', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '596', '物业费用：', '3.5元/m²/月', '车位情况：', '地下车位数719', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '27,938㎡', '建筑面积：', '83,512㎡']","['均价', '42000', '元/平']"
森兰名轩,"['项目地址：', '张扬北路东高路路口', '售楼处地址：', '兰谷路2500弄（接待时间9:0-15:0）', '开发商：', '上海同运置业有限公司', '物业公司：', '上海实业', '最新开盘：', '2017年04月12日', '物业类型：', '住宅', '交房时间：', '预计2018年04月', '容积率：', '1.20', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '426', '物业费用：', '3.9元/m²/月', '车位情况：', '地下车位数600', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '53,000㎡', '建筑面积：', '95,000㎡']",[]
御龙名邸,"['项目地址：', '海丰路128弄', '售楼处地址：', '海丰路83号（接待时间8:30-17:00）', '开发商：', '上海山阳房产开发有限公司', '物业公司：', '上海海尚物业管理有限公司', '最新开盘：', '2016年09月30日', '物业类型：', '住宅', '交房时间：', '2016年01月01日', '容积率：', '0.67', '产权年限：', '70年', '绿化率：', '39%', '规划户数：', '864', '物业费用：', '0.75元/m²/月', '车位情况：', '地下车位数630', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '49,971㎡', '建筑面积：', '70,000㎡']","['均价', '22000', '元/平']"
华润中央公园(浩翔路98弄),"['项目地址：', '浩翔路98弄', '售楼处地址：', '浩翔路98弄（接待时间9:00-17:30）', '开发商：', '华润(上海)房地产开发有限公司', '物业公司：', '华润置地（上海）物业管理有限公司', '最新开盘：', '2016年05月', '物业类型：', '住宅', '交房时间：', '2016年12月', '容积率：', '1.31', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '1679', '物业费用：', '4元/m²/月', '车位情况：', '地上车位数456；地下车位数918', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '260,000㎡', '建筑面积：', '460,000㎡']","['均价', '53000', '元/平']"
佳兆业城市广场,"['项目地址：', '嘉定-顺宁路501弄', '售楼处地址：', '胜竹路澄浏公路口（接待时间10:00-18:00）', '开发商：', '上海嘉湾兆业房地产有限公司', '物业公司：', '佳兆业品牌物业', '最新开盘：', '2016年10月01日', '物业类型：', '住宅', '交房时间：', '2017年12月', '容积率：', '1.80', '产权年限：', '70年', '绿化率：', '35%', '规划户数：', '754', '物业费用：', '2.6元/m²/月', '车位情况：', '地下车位数851', '供暖方式：', '暂无', '供水方式：', '民水', '供电方式：', '民电', '建筑类型：', '板楼', '嫌恶设施：', '暂无', '占地面积：', '117,257㎡', '建筑面积：', '290,631㎡']","['均价', '32500', '元/平']"
